Amphioctopus fangsiao
Arctoscopus japonicus
Atrina pectinata
Branchiostegus japonicus
Chionoecetes japonicus
Chionoecetes opilio
Cleisthenes pinetorum
Clupea pallasii
Conger myriaster
Corbicula japonica
Cynoglossus robustus
Dentex tumifrons
Enteroctopus dofleini
Fulvia mutica
Glyptocephalus stelleri
Hexagrammos otakii
Konosirus punctatus
Larimichthys polyactis
Lateolabrax japonicus
Liparis ochotensis
Meretrix lusoria
Miichthys miiuy
Muraenesox cinereus
Octopus minor
Oncorhynchus keta
Oplegnathus fasciatus
Pagrus major
Panulirus japonicus
Paralichthys olivaceus
Patinopeten yessoensis
Penaeus orientalis
Pleuronectes herzensteini
Pleuronectes yokohamae
Scomber japonicus
Scomberomorus niphonius
Sebastes inermis
Sebastes schlegelii
Seriola quinqueradiata
Stichopus japonicus
Sulculus diversicolor
Takifugu obscurus
Theragra chalcogramma
Trichiurus lepturus
