이름(국명),생물분류
감태,갈조류
개다시마,갈조류
곰피,갈조류
넓미역,갈조류
대황,갈조류
뜸부기,갈조류
톳,갈조류
닭새우,갑각류-십각류
대하,갑각류-십각류
펄닭새우,갑각류-십각류
갈치,경골어류
감성돔,경골어류
개서대,경골어류
갯장어,경골어류
고등어,경골어류
기름가자미,경골어류
넙치,경골어류
농어,경골어류
대구,경골어류
도루묵,경골어류
돌돔,경골어류
말쥐치,경골어류
명태,경골어류
문치가자미,경골어류
미거지,경골어류
민어,경골어류
방어,경골어류
볼락,경골어류
붕장어,경골어류
삼치,경골어류
연어,경골어류
옥돔,경골어류
용가자미,경골어류
전어,경골어류
조피볼락,경골어류
쥐노래미,경골어류
참가자미,경골어류
참돔,경골어류
참조기,경골어류
청어,경골어류
황돔,경골어류
황복,경골어류
낙지,두족류
대문어,두족류
살오징어,두족류
주꾸미,두족류
참문어,두족류
꽃게,미분류
대게,미분류
도박류,미분류
붉은대게,미분류
털게,미분류
둥근전복,복족류
말전복,복족류
소라,복족류
오분자기,복족류
왕전복,복족류
기수재첩,부족류(이매패류)
백합,부족류(이매패류)
새조개,부족류(이매패류)
코끼리조개,부족류(이매패류)
큰가리비,부족류(이매패류)
키조개,부족류(이매패류)
참홍어,연골어류
해삼,해삼
우뭇가사리,홍조류
